idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
6824,1651958,2017,35778,35778,,189429,189429,,35778,-112601,64123,-307654,,,,165595,67637,97958,,,,-128158,,,0,-128158,,,,,,,,-3608,,35892,54132,,100000,,,,,1919,0,,,,3180,,,,,,,,,,,,,,
6825,1651958,2018,849011,833633,,215528,215528,,849011,-269503,64123,466806,,,283906,,5510,19163,,,,-42304,,,0,-40133,,,,,,,8784,-35668,,-26166,42086,,,,,,,88,27767,37248,,,7536,,,,,,,,,,,,,,
6826,1651958,2019,1937881,1927538,,299092,299092,,1937881,633483,64123,1496131,,,101537,,,84300,,,,-46252,,,0,-61858,,,,,,,-5346,-1825,,-6748,24610,,,,,,,7211,,46400,,,7650,,,,,,,,,,,,,,
6827,1651958,2020,3010671,2819688,,233256,221694,,3010671,1638789,74123,2577898,,0,732726,,,162057,,,,-24494,,,0,-16972,,,,,,,63543,0,33300,63712,36130,,,,,,,10541,,2045,,,7719,,,,,,,,,,,,,,
6828,1651958,2021,2086752,965567,10089,730519,563534,123604,2086752,2715735,74,1058090,,24544,826733,,,719719,,,,186571,494,,0,353231,,,,,,,-226990,-1095,33300,-203742,295594,,,,,,,449227,,18415,,,8175,122528,0,,,,,,,,,,,,
6829,1651958,2022,2130059,2037901,92158,1043891,792118,251773,2130059,1066606,180065,722925,,19562,336241,,,316482,,,,78032,2179,,0,72926,,,-1.51,-1.51,68671,68671,-130864,-1523,52449,-80499,24141,,,,,,,29573,,0,,,6739,204133,80047,,,,,,,,,,,,
6830,1651958,2023,546492,425916,120576,1462784,1266234,196550,546492,-910845,183781,-1165665,,-5447,33064,,,26389,,,,-203694,880,,0,-202988,,,-0.001,-0.001,180065254,180065254,-163180,-19919,201641,,18169,,,,,,,46196,,0,,,4692,116012,68497,,,,,,,,,,,,
6831,1651958,2024,497171,487319,9852,1560814,1494230,66584,497171,-1063643,604781,-1802695,,,171079,,,112906,,,,-129420,1383,,0,-130137,,,-0.001,-0.001,183781560,183781560,-98218,-1096,96066,,14307,,,,,,,79482,,9761,,,5660,65210,53165,,,,,,,,,,,,
6839,1849056,2021,922000,4912100,,17609250,898000,,922000,0,,-1000,,,,,,,,,,-570025,,,2416,-1000,,,,,,,0,-500000000,205935,,205935,,25000,,,,,,,,,,,,,,,,,,,,,,,,
6840,1849056,2022,504719054,4177756,,17902885,402885,,504719054,0,,-13185226,,,,,,,,,,-1000,,,2416,-1000,,,,,,,0,-500000000,226535,,3337050,,25000,,,,,,,,,,,,,,,,,,,,,,,,
6841,1849056,2023,510138267,3998187,,19396328,1483529,,510138267,-13183831,,-13804143,,,,,,,,,,-529115,,,92115,-388236,,,,,,,-152804,1195000,-215914673,,3577359,,,,,,,,,,,,,,,,,,,,,,,,,,
6842,1849056,2024,305619950,2059412,,10583626,3491185,,305619950,-13802748,6924,-16320644,,,,,,,6689264,,3749719,-1157365,,,1115936,3090679,,-9183802,-0.13,-0.13,68845564,68845564,-678937,-25401,2286870,,1628692,25401,,,,,,,,2273823,,,577671,,,,,,,,,,,,,,
6843,352541,2014,10785500000,1011200000,,,1433300000,,11112400000,3013000000,1100000,1780700000,,1800000,3094500000,,,,,,,519700000,156700000,,89400000,335700000,,319800000,,0.63,,,841100000,-1155500000,324200000,9800000,11400000,1158100000,,,,,332400000,,81800000,365000000,,,8326500000,2977800000,,,,,,,,,,,,,
6844,352541,2015,11092500000,1043100000,,,1214700000,,12085900000,3134900000,1100000,1938000000,,,3276800000,,,,,,,533900000,172800000,,53900000,376200000,,358300000,,0.97,,,731000000,-754700000,12300000,-11400000,21200000,798300000,0,,,,370900000,,427300000,427900000,,,8938400000,3606700000,,,,,,,,,,,,,
6845,352541,2016,12063500000,826800000,1803000000,,1359300000,,12495200000,3281400000,1100000,2068900000,,,3350300000,,,,,,,543600000,180600000,,44300000,393300000,,383100000,,0.43,,,891600000,-917700000,73200000,47100000,9800000,902800000,0,,,,388100000,,397600000,402400000,,,9519100000,3522200000,,,,,,,,,,,,,
6846,352541,2017,12495200000,877100000,1879900000,,1162000000,,13373800000,3438700000,2300000,2177000000,,,3253600000,,,,,,,577000000,187100000,,70400000,388400000,,378200000,,0.43,,,871200000,-919200000,-3100000,-51100000,56900000,1034300000,151200000,,,,401300000,,493300000,445300000,,,10279200000,4315600000,,,,,,,,,,,,,
6847,352541,2018,13373800000,905100000,1652100000,,2149000000,,14187800000,4062000000,2300000,2346000000,,,3320000000,,,,,,,554100000,196200000,,59400000,381700000,,371500000,,0.44,,,392800000,-720200000,329300000,,27900000,1196800000,26600000,,,,411600000,,482800000,477300000,,,11234500000,4010600000,,,,,,,,,,,,,
6848,352541,2019,14187800000,785100000,1747200000,,1644100000,,15426000000,4585700000,2400000,2545900000,,,3382200000,,,,,,,671200000,215600000,,66700000,467500000,,457300000,1.99,1.99,229700000,229700000,521600000,-1033400000,532600000,,20900000,1466900000,149600000,,,,461800000,,350400000,543300000,,,12462400000,5246300000,,,,,,,,,,,,,
6849,352541,2020,15426000000,875500000,,,2054100000,,16700700000,5205100000,2500000,2765400000,,,3534000000,,,,,,,694000000,247000000,,48000000,522000000,,512000000,2.19,2.19,233600000,233600000,528000000,-1067000000,531000000,,16300000,1634000000,197000000,,,,507000000,,402100000,422300000,,,13527100000,5533000000,270500000,,,,,,,,,,,,
