idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
5607,787253,2021,120203000,79024000,,48828000,27806000,,120203000,76084000,87000,56181000,,,,,,4384000,,4439000,1800000,-55000,,,26000,96000,,,0.01,0.01,6841241,6985226,4593000,-1118000,-15000,,30478000,1118000,,,,,,27972000,17001000,12509000,,,21523000,,,,,,,,,,,,,,
5608,787253,2022,120281000,80348000,,40198000,22072000,,120281000,71375000,88000,66949000,,,,,,6005000,,3920000,1900000,2085000,,,-494000,2258000,,,0.35,0.35,6418093,6470978,110000,-1479000,-1743000,,32133000,1479000,4758000,,,,,27006000,17946000,11893000,,,22271000,,,,,,,,,,,,,,
5609,787253,2023,146003000,76746000,,57483000,23895000,,146003000,80083000,89000,77661000,,,,,,30509000,,,2500000,13679000,,,2947000,10712000,,,1.75,1.74,6117044,6155118,11866000,-26458000,4292000,,21833000,26488000,,,,,,32475000,17422000,16185000,,,44573000,,,,,,,,,,,,,,
5610,787253,2024,134152000,57010000,,45380000,15884000,,134152000,88520000,91000,80183000,,,,,,5371000,,3829000,2100000,1542000,,,265000,1053000,,,0.18,0.18,5919649,5943446,-4560000,-7767000,2835000,,13604000,7767000,,,,,,29694000,7022000,7778000,,,53841000,,,,,,,,,,,,,,
5611,824142,2014,215444000,113623000,,,36329000,,215444000,,147000,163959000,,,,,232615000,70499000,,26261000,3600000,44234000,,,16868000,27449000,,,0.5,0.49,55237755,55573239,,,,3146000,13000,,,8840000,,,,32140000,39063000,7779000,,,87283000,,,,,,,,,,,,,,
5612,824142,2015,233117000,131083000,,,42713000,,233117000,,216000,173843000,,,,,231348000,89792000,,33989000,5200000,55825000,,,18747000,37547000,,,0.68,0.68,55119150,55587381,,,,8926000,3159000,,,7428000,,,,37618000,44092000,11370000,,,91922000,,,,,,,,,,,,,,
5613,824142,2016,232854000,124213000,,,43413000,,232854000,,212000,178706000,,,,,248059000,108263000,,40562000,6300000,68006000,,,24088000,44158000,,,0.81,0.8,54809319,55369016,,,,9867000,12085000,,,9656000,,,,38499000,50024000,6178000,,,101061000,,,,,,,,,,,,,,
5614,824142,2017,256530000,140981000,,,39042000,,256530000,,211000,205687000,,,,,249951000,108681000,,37438000,7500000,71302000,,,25611000,45728000,,,0.85,0.84,54045841,54481484,15993000,-3906000,-2747000,-14044000,21952000,,,11857000,,,,47352000,43001000,7102000,,,114892000,,,,,,,,,,,,,,
5615,824142,2018,296780000,153727000,,,50065000,,296780000,,210000,237016000,,,,,61092000,118080000,,38506000,12000000,79594000,,,26615000,53376000,,,1.01,1,52924398,53449754,10166000,3269000,-5965000,16245000,7908000,,,12676000,,,,70786000,50338000,10967000,0,,142375000,,,,,,,,,,,,,,
5616,824142,2019,306708000,154450000,,,56581000,,308197000,,208000,247291000,,,,,,123651000,,49371000,13000000,74235000,,,-900000,53830000,,,1.02,1.01,52572496,53078734,57994000,-31052000,-29638000,,1994000,,,13663000,,,,77612000,54078000,10616000,3229000,,163003000,,,,,,,,,,,,,,
5617,824142,2020,319238000,146511000,,,43082000,,371424000,,208000,286301000,,,,,,103533000,,48194000,13500000,55351000,,,900000,42329000,,,0.81,0.8,52284616,52667939,54856000,-34635000,-39684000,,26797000,,,16728000,,,,73601000,67399000,11759000,3229000,,178094000,,,,,,,,,,,,,,
5618,824142,2021,449008000,220251000,,,59033000,,449008000,,209000,345495000,,,,,,119425000,,52077000,14800000,67011000,,,13320000,53711000,,,1.03,1.02,52079865,52635415,97925000,-37046000,-18500000,,79025000,,,16645000,,,,82219000,47387000,12447000,3200000,38000,223340000,,,,,,,,,,,,,,
5619,824142,2022,650180000,218080000,,,86768000,,650180000,,210000,384306000,,,,,,155849000,,60491000,17400000,101836000,,,22966000,79009000,,,1.51,1.49,52168679,53061169,128814000,-61273000,-29626000,,2859000,,,19815000,,,,130270000,70780000,29020000,85727000,70121000,258062000,,,,,,,,,,,,,,
5620,824142,2023,813903000,349116000,,,145567000,,813903000,,214000,461765000,,,,,,137830000,,68598000,16600000,69253000,,,10424000,58758000,,,0.75,0.73,78606298,80593484,61183000,-158719000,18735000,,5451000,,,19947000,,,,198939000,127158000,45513000,81892000,64606000,304745000,,,,,,,,,,,,,,
5621,824142,2024,941436000,408954000,,,126749000,,941436000,,326000,612835000,,,,,,237572000,,110823000,46800000,126761000,,,24157000,100376000,,,1.26,1.24,79582480,81145610,61318000,-76213000,17357000,,287000,,,22917000,,,,213532000,127158000,27484000,81892000,68053000,369947000,,,,,,,,,,,,,,
5627,1788841,2019,435900,505689,,,411974,,435900,23926,14,-1074,,,,,,,,,,-107938,,,-3424,-1074,,-40722,,,,,-100,-57500000,316655,316555,316555,,,,,,,,,,,,,,,,,,,,,,,,,,
5628,1788841,2020,58100748,505689,,3164959,85559,,58100748,23926,19,-12879,,,,,,,,,,-1074,,,-3424,-1074,,-1074,,,,,-100,-57500000,316655,-116075,316555,,25000,,,,,,,,,,,,,,,,,,,,,,,,
5629,1788841,2021,58413629,22711,,3411210,333347,,58413629,5000009,22,-1135524,,,2876000,,,,16026000,,1031000,-156889,1077000,,35432,563065,-189000,209936,,,,,-177495,61420,8482000,1529000,471284,,,,,,1407000,,96000,,10708000,,3723000,,,,,,,,,,,,,,
5630,1788841,2022,53623000,32025000,,61472000,42996000,,53623000,-15346000,,-108682000,,,1015000,,,,10167000,,576000,-9152000,498000,,2000,-14065000,-35000,-22229000,,,,,-6106000,-4742000,15818000,,21143000,,,,,,1248000,,451000,,10696000,,7616000,,,,,,,,,,,,,,
5631,1788841,2023,41154000,11245000,,80058000,70732000,,41154000,-7849000,,-189942000,,,3312000,,,,21362000,,744000,-18050000,1981000,,4000,-19397000,,-39137000,-60.32,-60.32,648779,648779,-16539000,-3037000,-168000,,429000,,,,,,1296000,,1345000,14359000,10696000,,9237000,,,,,,,,,,,,,,
5632,1788841,2024,7032000,3028000,,50834000,48089000,,7032000,-39850000,,-251997000,,,3919000,,,,19381000,,843000,-15463000,-1701000,,3000,-19554000,,-53773000,-529.18,-529.18,36951,36951,-12886000,-356000,13609000,,648000,,,,,,1784000,,704000,,,,2435000,,,,,,,,,,,,,,
5634,1603345,2015,139528,134815,,,19551,,139528,76854,5927,-257124,,,11125,1125,679,10446,51576,,19640,-51576,,,,-51576,,,,,,,-51859,-4546,52001,-56405,81854,1328,52001,,,,,,,5741,,,1130,,,,,,,,,,,,,,
5635,1603345,2016,17521,13195,,,7370,15621,17521,119977,5992,-432250,,,11125,,679,10446,58102,,3420,-58102,,,,-58102,,,,-0.03,5948421,5948421,-63401,-10000,38300,-63401,134815,,38300,,,,,,,2798,,,932,,,,,,,,,,,,,,
5636,1603345,2017,1287,619,,3689,3689,18186,1287,10151,6017,-727887,,,15000,,,30000,30005,,1998,-5,900,,,-5,,,,0,5992406,5992406,-6248,-10000,45000,-6248,13195,,,,,,,,,2798,,,668,,,,,,,,,,,,,,
5637,1603345,2018,7092,3688,,72173,4743,67430,7092,-2402,6017,-1108988,,,2250,,,2250,91780,,1357,-91780,-1811,,,-130243,,,,,,,-20504,-10000,45000,14496,619,,,,,,,,,14117,,,404,,,,,,,,,,,,,,
5638,1603345,2019,2265,2125,,55398,9651,45747,2265,-65081,20570,-43897941,,,,,,,25681,,,-25681,-7061,,,-32742,,,,,,,-27161,,30000,2839,3688,,,,,,,,,7245,,,140,,,,,,,,,,,,,,
5639,1603345,2020,93,93,,125878,40878,85000,93,-53133,21,-44030593,,,0,,,,42996,,94100,-42996,2328,,0,-45324,,,,,,,-39149,0,40000,-2061,2125,,611507,,,,,,,7245,,,0,,,,,,,,,,,,,,
5640,1603345,2021,292750,292750,,69288,69288,0,292750,0,34490,-363911,,,0,,,0,0,,0,0,-5,,0,0,,,,,,,0,17,0,0,0,,0,,,,,0,,41318,,,,,,,,,,,,,,,,,
5641,1603345,2022,292750,292750,,69288,69288,0,292750,0,34490,-363911,,,0,,,0,344389,,94100,-344389,,,0,-363911,,,,,,,-368774,17,611507,-231662,0,,611507,,,,,0,,41318,,,,,,,,,,,,,,,,,
5642,1603345,2023,15978,15978,,1092976,1092976,0,15978,-220366,38917,-3995521,,,1240,,,679,166958,,62500,-166958,,,0,-166958,,,,,,,-24136,0,0,,145,,0,,,0,,,,145119,,,,,,,,,,,,,,,,,
5643,1603345,2024,261392,261392,,2510555,2510555,0,261392,-1076998,40067,-5369326,,,,,,,164654,,51112,-164654,0,,0,-164654,,,,,,,44,0,0,,,,50000,,0,0,,,,1057215,,,,,,,,,,,,,,,,,
5651,1828096,2021,1999,1999,,6449,6449,,1999,-4450,,-4450,,,,,,,,,,-4450,,,,-4450,,,,,,,-4000,-550008699,552842762,,1005580,,25000,,,,,,,,,,,,,,,,,,,,,,,,
5652,1828096,2022,551473814,1426757,,38337962,19087962,,551473814,-4450,,-36865523,,,,,,,,,,6016664,,,,6025363,,,,,,,-1828483,-550008699,552842762,,323050,,25000,,,,,,,,,,,,,,,,,,,,,,,,
5658,1545851,2017,16163600000,,,6572400000,,,,,,,,,,,,,,100900000,,,,,,,,,,,,,,,,,,,,,,,,,,,251900000,,,,,,,,,,,,,,,,
5659,1545851,2018,16005300000,,,6842400000,,,,,,,,,,,,,,98000000,,,,,,,,,,,,,,,,,,,,,,,,,,,251900000,,,,,,,,,,,,,,,,
5660,1545851,2019,12730400000,,,6117600000,,,,,,,,,,,,,,121900000,,,163700000,,,,,,,,,,,,,,,,,,,,,,,,251900000,,,,,,,,,,,,,,,,
5661,1545851,2020,10091800000,,,4749100000,,,,,,,,,,,,,,91900000,,,170400000,,,,,,,,,,,,,,,,,,,,,,,,244000000,,,,,,,,,,,,,,,,
5662,1545851,2021,6645900000,,,3823100000,,,,,,,,,,,,,,78700000,,,109100000,,,,,,,,,,,,,,,,,,,,,,,,230900000,,,,,,,,,,,,,,,,
5663,1545851,2022,9171200000,,,3765900000,,,,,,,,,,,,,,89800000,,,90600000,,,,,,,,,,,,,,,,,,,,,,,,223300000,,,,,,,,,,,,,,,,
5664,1545851,2023,9486400000,,,2993000000,,,,,,,,,,,,,,78400000,,,63600000,,,,,,,,,,,,,,,,,,,,,,,,211500000,,,,,,,,,,,,,,,,
5665,1545851,2024,12775700000,,,5908200000,,,,,,,,,,,,,,126500000,,,129400000,,,,,,,,,,,,,,,,,,,,,,,,203900000,,,,,,,,,,,,,,,,
5666,1083922,2014,2025311,761180,,,1574603,,2025311,1475371,606000,-8092872,,,,0,,0,1282648,,,-1282648,,,,-2559231,,,,,48610830,,-1326138,-160300,1157615,-328823,404331,,245000,,,500000,,0,,98234,,147530,445704,,,,,,,,,,,,,,
5667,1083922,2015,1911252,845801,,,1652869,,1911252,450708,606000,-10941250,,,,8603,,-502,404849,,,-405351,,,,251662,,,,,50828568,,-221314,-8088,234484,5082,75508,,0,,,171382,,0,,375562,,147530,284869,,,,,,,,,,,,,,
5668,1083922,2016,1399546,536747,,,1982023,,1399546,258383,606000,-12396156,,,,45000,,28500,388215,,,-359715,,,,251662,,,,,58410448,,-107576,0,187333,79757,11112,,162186,,,0,,,,334778,,733463,129336,,,,,,,,,,,,,,
5669,1083922,2017,1234733,530513,,,2690612,,1234733,-582477,606000,-13594582,,,,0,,0,334533,,,-334533,,,,-1198426,,,,,60206654,,-78406,0,79284,878,878,,0,,,0,,,,171016,,698618,5602,,,,,,,,,,,,,,
5670,1083922,2018,1256409,604468,,,3439332,,1256409,-1455879,606000,-14774312,,,,0,,0,449925,,,-449925,,,,-1179730,,,,,61411918,,-4644,0,0,4978,4978,,0,,,0,,,,147271,,651941,0,,,,,,,,,,,,,,
5671,1083922,2019,775761,775761,,,3705460,,775761,-2182923,78381,-16317490,,,0,0,,0,178696,,,-178696,,,,-1543178,,,,,66311972,,-44979,0,0,-51210,88423,,0,,,0,,,,187434,,,0,,,,,,,,,,,,,,
5672,1083922,2020,58161,58161,,3934420,3934420,,58161,-2929698,64681,-17641005,,,0,,,0,172545,,,-172545,,,,-211617,,,,,76447410,,-135984,0,-5000,-117116,248472,,0,,,0,,,,167467,,0,,,,,,,,,,,,,,,
5673,1083922,2021,86805,35215,,4414340,4384994,,86805,-3876260,66883,-18537098,,,35000,,,29684,180489,,,-150805,,,,-206232,,,,,66883151,,-74342,0,40000,,58161,,40000,,,0,,,,121099,,0,,,,,,,,,,,,,,,
5674,1083922,2022,95998,65887,,5102508,5096700,,95998,-5006510,68208,-19463917,,,0,,,0,135600,,,-135600,,,,-191218,,,,,66883151,,-39187,0,44232,,35215,,0,,,44232,,,,117972,,0,,,,,,,,,,,,,,,
5675,1083922,2023,10844,3437,,5798628,5798628,,10844,-5787784,68208,-20593614,,,0,,,0,198853,,,-198853,,,,,,,-0.01,,68208151,,-6113,0,0,,65887,,0,,,0,,,,136107,,0,,,,,,,,,,,,,,,
5677,1594012,2014,15623070000,,,14288743000,,,15623070000,967440000,596000,734563000,,,,,,,,,,,123444000,,56083000,88767000,,88767000,0.32,0.32,273797796,275633380,224779000,-841408000,681643000,65014000,90139000,25407000,2150000000,5595000,,,,,,,77600000,,138105000,,,,,,,,,,,,,,
5678,1594012,2015,18773639000,,,15195784000,,,18773639000,1066817000,3591000,836639000,,,,,,,,,,,109642000,,63755000,112031000,,112031000,0.4,0.4,279632558,283035844,176094000,-1261322000,1180764000,95536000,155153000,24544000,2150000000,22404000,,,,,,,77600000,,160899000,,,,,,,,,,,,,,
5679,1594012,2016,20888684000,,,17577037000,,,20888684000,1334327000,3591000,936040000,,,,,,,,,,,118891000,,74751000,131721000,,41947000,0.38,0.38,344389259,347731571,277388000,-2936744000,2639628000,-19728000,250689000,31655000,2150000000,42555000,,,,,,,77571000,,172519000,,,,,,,,,,,,,,
5680,1594012,2017,23174675000,,,20051430000,,,23174675000,3577855000,3591000,1053750000,,,,,,,,,,,136639000,,99372000,181505000,,,0.55,0.55,329763527,332933448,536119000,-2585122000,1966946000,-82057000,230961000,25550000,,87395000,,,,,,,77571000,,177417000,,,,,,,,,,,,,,
5681,1594012,2018,25129244000,,,22003793000,,,25129244000,3311647000,3591000,1084177000,,,,,,,,,,,153336000,,106947000,192125000,,,0.65,0.64,297580834,300954885,227136000,-2297946000,2086084000,15274000,148904000,21088000,,82291000,,,,,,,77571000,,180231000,,,,,,,,,,,,,,
5682,1594012,2019,26229008000,,,23223678000,,,26229008000,3123245000,3591000,1173897000,,,,,,,,,,,201907000,,153845000,126744000,,,0.44,0.43,290183952,291966475,302410000,-1687298000,1839104000,,196891000,20235000,,101550000,,,,,,,82546000,,177432000,,,,,,,,,,,,,,
5683,1594012,2020,26698766000,,,24076816000,,,26698766000,3125451000,3591000,1245793000,,,,,,,,,,,288399000,,67842000,202576000,,,0.72,0.72,281925219,282791859,275575000,-1553763000,856685000,,174915000,14305000,,113186000,,,,,,,82546000,,169614000,,,,,,,,,,,,,,
5684,1594012,2021,26023159000,,,23313156000,,,26023159000,3005330000,3619000,1339003000,,,,,,,,,,,385146000,,91248000,195484000,,,0.75,0.74,262202598,262519788,160654000,-247474000,64844000,,170432000,11761000,,122163000,,,,,,,94535000,,139663000,,,,,,,,,,,,,,
5688,72971,2014,1523502000000,,,1352494000000,,,1523502000000,170142000000,9136000000,92361000000,,866000000,,,,,,,,,5161000000,,9103000000,18897000000,898000000,17999000000,3.4,3.36,5287600000,5351500000,9137000000,-26157000000,11377000000,2420000000,,,2091000000,,,,1300000000,,,,25637000000,,9156000000,,57175000000,,,,,,,,,,,,
5689,72971,2015,1687155000000,,,1501893000000,,,1687155000000,184394000000,9136000000,107040000000,,868000000,,,,,,,,,4289000000,,10405000000,21878000000,989000000,20889000000,3.95,3.89,5287300000,5371200000,,,,-1941000000,,,2224000000,,,,1200000000,,,,25637000000,,8743000000,,53883000000,,,,,,,,,,,,
5690,72971,2016,1787632000000,,,1593741000000,,,1787632000000,192998000000,9136000000,120866000000,,893000000,,,,,,,,,4025000000,,10307000000,23057000000,1236000000,21821000000,4.17,4.1,5237200000,5324400000,,,,-348000000,,,1840000000,,,,1200000000,,,,25705000000,,8704000000,,63518000000,,,,,,,,,,,,
5691,72971,2017,1930115000000,,,1729618000000,,,1930115000000,199581000000,9136000000,133075000000,,916000000,88389000000,,,,,,,,3976000000,,10365000000,22894000000,1424000000,21470000000,4.18,4.12,5136500000,5209800000,,,,-460000000,,,1726000000,,,,1200000000,,,,25529000000,,8333000000,,97528000000,,,,,,,,,,,,
5692,72971,2018,1951757000000,,,1743678000000,,,1951757000000,206936000000,9136000000,145263000000,,1143000000,88267000000,,,,,,,,5909000000,,10075000000,21938000000,1565000000,20373000000,4.03,3.99,5052800000,5108300000,,,,,,,1415000000,,,,1200000000,,,,26693000000,,8847000000,,96781000000,,,,,,,,,,,,
5693,72971,2019,1895883000000,,,1698817000000,,,1895883000000,196166000000,9136000000,158163000000,,900000000,88389000000,,,,,,,,9352000000,,4917000000,22183000000,1629000000,20554000000,4.14,4.1,4964600000,5017300000,18619000000,-13152000000,-10920000000,,,,1211000000,,,,1200000000,,,,26587000000,,8920000000,,103256000000,,,,,,,,,,,,
5694,72971,2020,1927555000000,,,1739571000000,,,1927555000000,187146000000,9136000000,166697000000,,838000000,21609000000,,,,,,,,14652000000,,5662000000,22393000000,1704000000,20689000000,4.31,4.28,4799700000,4838400000,36073000000,-7754000000,-70979000000,,,,632000000,,,,1300000000,,,,26418000000,,9309000000,,104512000000,,,,,,,,,,,,
5695,72971,2021,1981349000000,,,1769243000000,,,1955163000000,184887000000,9136000000,162890000000,,1033000000,,,,,,,,,18852000000,,5761000000,19715000000,1612000000,18103000000,4.12,4.09,4393100000,4425400000,6730000000,-29631000000,-9136000000,,,,209000000,,,,1400000000,,,,26390000000,,,,58999000000,,,,,,,,,,,,
5696,72971,2022,1957264000000,,,1757958000000,,,1948068000000,187606000000,9136000000,180322000000,,2504000000,,,,,,,,,7963000000,,-1157000000,3377000000,1591000000,1786000000,0.43,0.43,4118000000,4134200000,2051000000,122554000000,-1243000000,,,,,,,,1400000000,,,,26392000000,,,,34409000000,,,,,,,,,,,,
5697,72971,2023,1939709000000,,,1698807000000,,,1881020000000,180227000000,9136000000,161945000000,,1986000000,,,,,,,,,3915000000,,5764000000,22109000000,1291000000,20818000000,5.13,5.08,4061900000,4096200000,-11525000000,-7619000000,-11238000000,,,,,,,,1400000000,,,,25180000000,,,,51145000000,,,,,,,,,,,,
5698,72971,2024,1886400000000,,,1745025000000,,,1932468000000,185735000000,9136000000,201136000000,,1708000000,,,,,,,,,6020000000,,2251000000,13677000000,1115000000,12562000000,3.3,3.27,3805200000,3837000000,27048000000,-42476000000,-59645000000,,,,,,,,1200000000,,,,25173000000,,,,89559000000,,,,,,,,,,,,
5699,793524,2014,12032265,11945295,,,162328,,12032265,4107198,2311,-93316974,,,1735767,,,,5773464,,1671872,-3816128,,,-613397,-3169560,,,,,,,,,,5986869,2403364,11576,1745549,,,,,,867162,56603,,,64365,,,,,,,,,,,,,,
5700,793524,2015,12564854,10367561,,,482684,,12564854,14172675,2392,-98130702,,,308347,,,,8240118,,2203326,-6078759,,,,-6040611,,,,,,,,,,-2524110,8390233,50536,3278250,,,,,,1175218,159312,,,660201,,,,,,,,,,,,,,
5701,793524,2016,9544017,8674234,,,468212,,9544017,11869937,2404,-102410558,,,1598799,,,,6047682,,1621964,-4448883,,,,-4413722,,,,,,,,,,1703414,5866123,627660,,,,,,,1314675,46734,,,836216,,,,,,,,,,,,,,
5702,793524,2017,5274196,4588974,,,369270,,5274196,12082170,2404,-106648968,,,2007482,,,,6330657,,1588491,-4323175,,,,-4279856,,,,,,,-3580812,1175110,548475,-1857227,7569537,316185,,,,,,,1117146,29932,,,651655,,,,,,,,,,,,,,
5703,793524,2018,2881113,2364985,,,313747,,2881113,9075805,2404,-109062827,,,1236097,,,,5504042,,1417634,-4267945,,,,-4238410,,,,,,,-4005443,-15264,1250000,873612,1691603,11715,1250000,,,,,,597441,58090,,,482561,,,,,,,,,,,,,,
5704,793524,2019,4058566,3711822,,959076,457662,,4058566,2567366,2767,-111690934,,,433269,,,,1228441,,218616,-795172,,,,-793767,,,,,,,-685903,-5399,1250000,558698,1737847,5399,,,,,,,689677,133486,,,313177,,,,,,,,,,,,,,
5705,793524,2020,8256133,7306857,,1200025,387429,,8256133,3099490,3125,-115499912,,,,,,,981129,,229963,-562472,,,,-803897,,,,,,,-732551,-134,1101782,,6591960,134,,,,202052,,,,169750,,,141720,,,,,,,,,,,,,,
5706,793524,2021,6199290,5427509,,872285,226066,,6199290,7056108,3158,-117840776,,,,,,,1003759,,183318,-647586,,,,-624594,,,,,,,-758223,3658,486259,,4772705,55,,,,202052,67082,,,33410,,,121772,,,,,,,,,,,,,,
5707,793524,2022,4545987,3949642,,762064,297936,,4545987,5327005,3165,-119687128,,,,,,,770774,,145178,-557651,,,,-557307,,,-0.02,,31634890,,-642660,-346,86262,,269964,346,,,,,4489,,,66460,,,92954,,,,,,,,,,,,,,
5708,793524,2023,5366451,4921488,,569586,301863,,5366451,3783923,3315,-122356477,,,,,,,749523,,148825,-575695,,,,-628348,,,-0.02,-0.04,31650396,31650396,-497954,2694363,3450000,,4230916,605,,,,,7180,,589599,71079,,,65388,,,,,,,,,,,,,,
5709,793524,2024,3850525,3576146,,332794,277431,,3850525,4796865,3351,-124264841,,,,,,,737021,,149222,-488846,,,,-462638,,,-0.01,-0.01,33286648,33286648,-597123,-2965862,484502,,2475958,702,,,,,6816,,1003404,50880,,,39598,,,,,,,,,,,,,,
5710,731012,2014,331183000,309192000,,,99103000,,425342000,217726000,719000,127464000,,,,273904000,,,,79277000,,,,,26050000,44214000,,44214000,0.65,0.65,67511000,68485000,60376000,5687000,-35753000,30310000,38639000,3484000,118000,,,,,,,43682000,40183000,,11304000,,,,,,,,,,,,,,
5711,731012,2015,425342000,334828000,,,117959000,,469579000,229570000,729000,100237000,,,,312165000,,,,91998000,,,,,19360000,47129000,,47129000,0.68,0.67,69206000,70045000,32158000,605000,-37557000,-4794000,68949000,3762000,107000,,,,,,,43554000,44438000,,12772000,,,,,,,,,,,,,,
5712,731012,2016,469579000,365342000,,,96065000,,480949000,285143000,738000,106886000,,,,355246000,,,,107810000,,,,,9858000,21850000,,15516000,0.31,0.31,70616000,71341000,57730000,-6460000,-40145000,11125000,64155000,5795000,110000,,,,,,,41472000,44438000,,13086000,,,,,,,,,,,,,,
5713,731012,2017,480949000,414624000,,,100871000,,528446000,275830000,742000,130940000,,,,384807000,,,,111689000,,,,,31740000,58024000,,,0.81,0.8,71826000,72512000,63361000,-62314000,-43138000,-42091000,75280000,4998000,113000,,,,,,,42912000,44438000,,13455000,,,,,,,,,,,,,,
5714,731012,2018,528446000,527406000,,,184168000,,676003000,296456000,750000,163860000,,,,,,,,105417000,,,1363000,,42991000,77396000,,,1.06,1.05,72754000,73474000,41400000,-6452000,-44284000,-9336000,33189000,5442000,109000,,,,,,,74463000,51084000,,13509000,,,,,,,,,,,,,,
5715,731012,2019,692603000,508136000,,,163391000,,692603000,399952000,753000,190092000,,,,,,,,33777000,,,,,-1467000,72000,,,0,0,73913000,74725000,23931000,-4202000,-18797000,,,1335000,24000,,,,,,,61467000,51084000,,12900000,,,,,,,,,,,,,,
5716,731012,2020,692603000,515732000,,,148651000,,722592000,399952000,756000,195455000,,,,,,,,136603000,,,,,16386000,83524000,,,1.13,1.12,74002000,74612000,80031000,-9586000,-53977000,,,4940000,89000,,,,,,,54418000,51084000,,,,,,,,,,,,,,,,
5717,731012,2021,722592000,572403000,,,162260000,,785031000,440780000,758000,195455000,,,,,,,,150022000,,,,,20515000,64581000,,,0.87,0.87,74362000,74590000,93581000,-16457000,-75820000,,,4368000,90000,,,,,,,52239000,51084000,18187000,,,,,,,,,,,,,,,
5718,731012,2022,785031000,546382000,,,191125000,,777529000,460305000,760000,183957000,,,,,,,,150778000,,,,,30504000,98682000,,,1.32,1.32,74696000,74785000,217213000,-36845000,-68367000,,,4341000,93000,,,,,,,64419000,74755000,20805000,,,,,,,,,,,,,,,
5719,731012,2023,779889000,508632000,,,178619000,,718334000,470276000,762000,154495000,,,,,,,,173108000,,,,,16969000,48543000,,,0.65,0.65,74816000,74962000,37108000,-22990000,-82654000,,,5687000,92000,,,,,,,68296000,75529000,,,,,,,,,,,,,,,,
5720,731012,2024,790652000,571696000,,,216928000,,790652000,445171000,763000,185010000,,,,,,,,140344000,,,,,10310000,34243000,,,0.46,0.46,74336000,74351000,-8167000,2580000,-38928000,,26279000,5210000,106000,,,,,,344864000,83224000,75529000,,,,,,,,,,,,,,,,
5725,1123799,2018,793516000000,,,270821000000,,,,,,,,,,,,155716000000,,,,,1206000000,,,,,,,,,,,,,,,,,,,,,,,,101991000000,,,,,,,,,,,,,,,,
5726,1123799,2019,760640000000,,,275294000000,,,,,,,,,,,,158858000000,,,,,2675000000,,,,,,,,,,,,,,,,,,,,,,,,125796000000,,,,,,,,,,,,,,,,
5727,1123799,2020,833171000000,,,262418000000,,,,,,,,,,,,159296000000,,,,,3451000000,,,,,,,,,,,,,,,,,,,,,,,,117584000000,,,,,,,,,,,,,,,,
5728,1123799,2021,817062000000,,,257729000000,,,,,,,,,,,,172812000000,,,,,5616000000,,,,,,,,,,,,,,,,,,,,,,,,116980000000,,,,,,,,,,,,,,,,
5729,1123799,2022,831434000000,,,276841000000,,,,,,,,,,,,174147000000,,,,,5136000000,,,,,,,,,,,,,,,,,,,,,,,,131012000000,,,,,,,,,,,,,,,,
5730,1123799,2023,1079182000000,,,420509000000,,,,,,,,,,,,196225000000,,,,,4298000000,,,,,,,,,,,,,,,,,,,,,,,,139127000000,,,,,,,,,,,,,,,,
5731,1123799,2024,1175822000000,,,394069000000,,,,,,,,,,,,235062000000,,,,,5325000000,,,,,,,,,,,,,,,,,,,,,,,,246989000000,,,,,,,,,,,,,,,,
5732,1159281,2014,590183000,150884000,,,198528000,81277000,590183000,287354000,486000,-48996000,,,1207806000,,,,1185073000,,,22733000,6268000,,7098000,,,22307000,0.47,0.46,47952000,50134000,47508000,-37684000,-51066000,-3736000,28374000,51805000,,,,,24480000,,,,25344000,,340276000,,,,,,,,,,,,,,
