idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
2198,1830547,2022,,https://www.sec.gov/Archives/edgar/data/1830547/000110465922063980/ssaau-20220331x10q.htm,https://www.sec.gov/Archives/edgar/data/1830547/000110465922092128/ssaau-20220630x10q.htm,https://www.sec.gov/Archives/edgar/data/1830547/000110465922118278/ssaau-20220930x10q.htm,
2199,1830547,2021,https://www.sec.gov/Archives/edgar/data/1830547/000110465922045102/ssaau-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1830547/000110465921073535/ssaau-20210331x10q.htm,https://www.sec.gov/Archives/edgar/data/1830547/000110465921105299/ssaau-20210630x10q.htm,https://www.sec.gov/Archives/edgar/data/1830547/000110465921139168/ssaau-20210930x10q.htm,
2200,1830547,2020,https://www.sec.gov/Archives/edgar/data/1830547/000110465921047648/tm2110201d1_10k.htm,,,,
2201,1475841,2024,https://www.sec.gov/Archives/edgar/data/1475841/000155837025001502/nbhc-20241231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584124000020/nbhc-20240331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584124000038/nbhc-20240630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584124000054/nbhc-20240930x10q.htm,
2202,1475841,2023,https://www.sec.gov/Archives/edgar/data/1475841/000155837024001838/nbhc-20231231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584123000021/nbhc-20230331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584123000040/nbhc-20230630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584123000056/nbhc-20230930x10q.htm,
2203,1475841,2022,https://www.sec.gov/Archives/edgar/data/1475841/000155837023002370/nbhc-20221231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584122000022/nbhc-20220331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584122000044/nbhc-20220630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584122000066/nbhc-20220930x10q.htm,
2204,1475841,2021,https://www.sec.gov/Archives/edgar/data/1475841/000155837022001738/nbhc-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584121000016/nbhc-20210331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584121000042/nbhc-20210630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837021015299/nbhc-20210930x10q.htm,
2205,1475841,2020,https://www.sec.gov/Archives/edgar/data/1475841/000155837021001604/nbhc-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584120000022/nbhc-20200331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584120000041/nbhc-20200630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584120000049/nbhc-20200930x10q.htm,
2206,1475841,2019,https://www.sec.gov/Archives/edgar/data/1475841/000155837020001499/nbhc-20191231x10ke69e64.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837019004721/nbhc-20190331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584119000035/nbhc-20190630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584119000052/nbhc-20190930x10q.htm,
2207,1475841,2018,https://www.sec.gov/Archives/edgar/data/1475841/000155837019001401/nbhc-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837018004040/nbhc-20180331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837018006816/nbhc-20180630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837018008825/nbhc-20180930x10q.htm,
2208,1475841,2017,https://www.sec.gov/Archives/edgar/data/1475841/000155837018001177/nbhc-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837017003799/nbhc-20170331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837017006003/nbhc-20170630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837017008138/nbhc-20170930x10q.htm,
2209,1475841,2016,https://www.sec.gov/Archives/edgar/data/1475841/000155837017001023/nbhc-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837016005630/nbhc-20160331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837016007652/nbhc-20160630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837016009374/nbhc-20160930x10q.htm,
2210,1475841,2015,https://www.sec.gov/Archives/edgar/data/1475841/000155837016003670/nbhc-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584115000051/nbhc_20150331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584115000068/nbhc_20150630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000155837015002546/nbhc-20150930x10q.htm,
2211,1475841,2014,https://www.sec.gov/Archives/edgar/data/1475841/000147584115000013/nbhc_20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584114000031/nbhc_20140331x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584114000045/nbhc_20140630x10q.htm,https://www.sec.gov/Archives/edgar/data/1475841/000147584114000058/nbhc_20140930x10q.htm,
2212,72903,2024,https://www.sec.gov/Archives/edgar/data/72903/000007290325000029/xel-20241231.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290324000096/xel-20240331.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290324000172/xel-20240630.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290324000199/xel-20240930.htm,
2213,72903,2023,https://www.sec.gov/Archives/edgar/data/72903/000007290324000034/xel-20231231.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290323000026/xel-20230331.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290323000113/xel-20230630.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290323000161/xel-20230930.htm,
2214,72903,2022,https://www.sec.gov/Archives/edgar/data/72903/000007290323000007/xel-20221231.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290322000027/xel-20220331.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290322000053/xel-20220630.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290322000063/xel-20220930.htm,
2215,72903,2021,https://www.sec.gov/Archives/edgar/data/72903/000007290322000010/xel-20211231.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290321000030/xel-20210331.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290321000064/xel-20210630.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290321000084/xel-20210930.htm,
2216,72903,2020,https://www.sec.gov/Archives/edgar/data/72903/000007290321000012/xel-20201231.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290320000022/xcel03312010-q.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290320000055/xel-20200630.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290320000066/xel-20200930.htm,
2217,72903,2019,https://www.sec.gov/Archives/edgar/data/72903/000007290320000011/xcel1231201910-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290319000019/xcel03311910-q.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290319000047/xcel06301910-q.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290319000074/xcel09301910-q.htm,
2218,72903,2018,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/xcel1231201810-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290318000017/xcel03311810-q.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290318000042/xcel06301810-q.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290318000056/xcel09301810-q.htm,
2219,72903,2017,https://www.sec.gov/Archives/edgar/data/72903/000007290318000009/xcel1231201710-k.htm,,,https://www.sec.gov/Archives/edgar/data/72903/000007290317000064/xcel09301710-q.htm,
2220,1593548,2024,https://www.sec.gov/Archives/edgar/data/1593548/000143774925006461/ags20241231_10k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774924015488/ags20240331_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774924025212/ags20240630_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774924033975/ags20240930_10q.htm,
2221,1593548,2023,https://www.sec.gov/Archives/edgar/data/1593548/000143774924006735/ags20231231_10k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774923013312/ags20230331_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774923021955/ags20230630_10q.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774923030654/ags20230930_10q.htm,
