idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
53,0001606163,2023,https://www.sec.gov/Archives/edgar/data/1606163/000162828024010995/lmb-20231231.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828023016439/lmb-20230331.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828023028588/lmb-20230630.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828023037858/lmb-20230930.htm,
54,0001606163,2022,https://www.sec.gov/Archives/edgar/data/1606163/000162828023007012/lmb-20221231.htm,https://www.sec.gov/Archives/edgar/data/1606163/000160616322000008/lmb-20220331.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828022021948/lmb-20220630.htm,https://www.sec.gov/Archives/edgar/data/1606163/000160616322000015/lmb-20220930.htm,
55,0001606163,2021,https://www.sec.gov/Archives/edgar/data/1606163/000162828022006391/lmb-20211231.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828021010233/lmb-20210331.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828021016834/lmb-20210630.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828021022804/lmb-20210930.htm,
56,0001606163,2020,https://www.sec.gov/Archives/edgar/data/1606163/000162828021005652/lmb-20201231.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828020009442/lmb-20200331x10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828020012627/lmb-20200630x10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000162828020016246/lmb-20200930.htm,
57,0001606163,2019,https://www.sec.gov/Archives/edgar/data/1606163/000162828020007806/form10-ka.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420419026594/tv520690_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420419040095/tv527081_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000110465919064348/tm1919592-1_10q.htm,
58,0001606163,2018,https://www.sec.gov/Archives/edgar/data/1606163/000114420419019702/tv516315_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420418028951/tv491896_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420418044708/tv499714_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420418060811/tv505516_10q.htm,
59,0001606163,2017,https://www.sec.gov/Archives/edgar/data/1606163/000114420418018709/tv487628_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420417027625/v466310_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420417043252/v471749_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420417059119/tv478033_10q.htm,
60,0001606163,2016,https://www.sec.gov/Archives/edgar/data/1606163/000114420417020753/v462647_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416099889/v438651_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416119356/v445282_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420416134630/v453115_10qa.htm,
61,0001606163,2015,https://www.sec.gov/Archives/edgar/data/1606163/000114420416089184/v434424_10k.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420415028842/v408089_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420415048537/v417188_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420415064765/v424050_10q.htm,
62,0001606163,2014,https://www.sec.gov/Archives/edgar/data/1606163/000114420415015101/v400771_10k.htm,,https://www.sec.gov/Archives/edgar/data/1606163/000114420414050153/v385760_10q.htm,https://www.sec.gov/Archives/edgar/data/1606163/000114420414061926/v390817_10q.htm,
63,0000912593,2024,https://www.sec.gov/Archives/edgar/data/912593/000091259325000086/sui-20241231.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259324000190/sui-20240331.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259324000211/sui-20240630.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259324000247/sui-20240930.htm,
64,0000912593,2023,https://www.sec.gov/Archives/edgar/data/912593/000091259324000094/sui-20231231.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259323000173/sui-20230331.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259323000201/sui-20230630.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259323000229/sui-20230930.htm,
65,0000912593,2022,https://www.sec.gov/Archives/edgar/data/912593/000091259323000080/sui-20221231.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259322000112/sui-20220331.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259322000168/sui-20220630.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259322000200/sui-20220930.htm,
66,0000912593,2021,https://www.sec.gov/Archives/edgar/data/912593/000091259322000039/sui-20211231.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259321000126/sui-20210331.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259321000185/sui-20210630.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259321000226/sui-20210930.htm,
67,0000912593,2020,https://www.sec.gov/Archives/edgar/data/912593/000091259321000054/sui-20201231.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259320000087/sui2020033110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259320000137/sui-20200630.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259320000165/sui-20200930.htm,
68,0000912593,2019,https://www.sec.gov/Archives/edgar/data/912593/000091259320000041/sui2019123110-k.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259319000083/sui2019033110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259319000109/sui2019063010-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259319000130/sui2019093010-q.htm,
69,0000912593,2018,https://www.sec.gov/Archives/edgar/data/912593/000091259319000034/sui2018123110-k.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259318000097/sui2018033110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259318000124/sui2018063010-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259318000143/sui2018093010-q.htm,
70,0000912593,2017,https://www.sec.gov/Archives/edgar/data/912593/000091259318000049/sui2017123110-k.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259317000064/sui201733110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259317000100/sui2017063010-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259317000124/sui2017093010-q.htm,
71,0000912593,2016,https://www.sec.gov/Archives/edgar/data/912593/000091259317000021/sui2016123110-k.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259316000182/sui2016033110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259316000201/sui2016063010-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259316000216/sui2016093010-q.htm,
72,0000912593,2015,https://www.sec.gov/Archives/edgar/data/912593/000091259316000134/sui2015123110k.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259315000054/sui2015033110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259315000093/sui2015063010-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259315000111/sui2015093010-q.htm,
73,0000912593,2014,https://www.sec.gov/Archives/edgar/data/912593/000091259315000031/sui2014123110k.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259314000035/sui2014033110-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259314000062/sui2014063010-q.htm,https://www.sec.gov/Archives/edgar/data/912593/000091259314000088/sui2014093010-q.htm,
74,0002006291,2024,https://www.sec.gov/Archives/edgar/data/2006291/000119312525067356/d837538d10k.htm,https://www.sec.gov/Archives/edgar/data/2006291/000119312524157319/d777590d10q.htm,https://www.sec.gov/Archives/edgar/data/2006291/000119312524199774/d813883d10q.htm,https://www.sec.gov/Archives/edgar/data/2006291/000119312524257187/d895562d10q.htm,
75,0000017313,2024,https://www.sec.gov/Archives/edgar/data/17313/000001731324000022/cswc-20240331.htm,,https://www.sec.gov/Archives/edgar/data/17313/000001731324000058/cswc-20240630.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731324000097/cswc-20240930.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731325000012/cswc-20241231.htm
76,0000017313,2023,https://www.sec.gov/Archives/edgar/data/17313/000001731323000025/cswc-20230331.htm,,https://www.sec.gov/Archives/edgar/data/17313/000001731323000082/cswc-20230630.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731323000125/cswc-20230930.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731324000006/cswc-20231231.htm
77,0000017313,2022,https://www.sec.gov/Archives/edgar/data/17313/000001731322000039/cswc3312210-k.htm,,https://www.sec.gov/Archives/edgar/data/17313/000001731322000068/cswc-20220630.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731322000097/cswc-20220930.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731323000006/cswc-20221231.htm
78,0000017313,2021,https://www.sec.gov/Archives/edgar/data/17313/000001731321000075/cswc3312110-k.htm,,https://www.sec.gov/Archives/edgar/data/17313/000001731321000107/cswc6302110q.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731321000169/cswc9302110q.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731322000010/cswc12312110q.htm
