idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
46,0001257640,2015,1642500000,886200000,276600000,,237900000,623500000,1642500000,1062100000,1200000,-282900000,,,,1732400000,1620200000,112200000,,190400000,18000000,-132600000,19600000,,-57900000,-102000000,,,,,,,,,,-228900000,282700000,67600000,,,,,,423600000,,121400000,,,479700000,,,,,,,,,,,,,,
47,0001257640,2016,1242700000,710800000,,,201700000,579100000,1242700000,935100000,1200000,-526000000,,,,1651900000,1302200000,349700000,,191900000,19000000,149700000,17000000,,34500000,99200000,,,,,,,,,,,167700000,61200000,,,,,,387200000,,96100000,,,429500000,,,,,,,,,,,,,,
48,0001257640,2017,1179600000,650400000,,,182100000,602500000,1179600000,781100000,1200000,-552200000,,,,1348800000,1156500000,192300000,,178000000,16000000,-1100000,18500000,,142800000,-173600000,,,,,,,,,,,50700000,47100000,,,,,,343500000,,84900000,,,434000000,,,,,,,,,,,,,,
49,0001257640,2018,1824400000,1062500000,,,231500000,838600000,1824400000,461900000,1200000,-267200000,,,,369800000,263800000,264700000,,168500000,13000000,92900000,20500000,,17900000,43300000,,,,,,,89600000,-53000000,-73300000,,322000000,53000000,,,,,,382300000,,107900000,,,506400000,473800000,,,,,,,,,,,,,
50,0001257640,2019,1898100000,1201400000,,,233400000,824900000,1898100000,395000000,1200000,-136200000,,,,,,569700000,,200600000,18000000,347800000,19000000,,-48800000,354500000,,,,,,,276100000,-77900000,58800000,,373300000,64300000,,,,,,497900000,,103200000,,,486400000,455100000,,,,,,,,,,,,,
51,0001257640,2020,1965800000,1219700000,,,270600000,879100000,1965800000,754300000,1200000,-132500000,,,,,,562200000,,228300000,16000000,330100000,19500000,,88800000,205000000,,,,,,,188500000,-42700000,-80400000,,390800000,56300000,,,,,,503000000,,137200000,,,490600000,444000000,,,,,,,,,,,,,
52,0001257640,2021,2036700000,1218300000,,,260200000,980000000,2036700000,839800000,1200000,-151800000,,,,,,386200000,,228200000,17000000,145800000,18700000,,34000000,87100000,,87100000,0.75,0.75,115800000,115800000,160300000,-52500000,-87900000,,355300000,55100000,,,,,,519000000,,111000000,,,524600000,486700000,,,,,,,,,,,,,
53,0001257640,2022,2012800000,1258000000,,,288800000,853800000,2012800000,816100000,1200000,-122100000,,,,,,351200000,,218600000,16000000,116200000,19000000,,16100000,63900000,,19600000,0.55,0.55,115600000,115600000,102500000,-61300000,-85300000,,406000000,62800000,,,,,,432300000,,143600000,,,503400000,449800000,,,,,,,,,,,,,
54,0001257640,2023,1934400000,1242200000,,,326700000,650500000,1934400000,796500000,1200000,-105400000,,,,,,446200000,,248900000,17000000,187100000,19600000,,40500000,112900000,,81300000,0.98,0.98,115.5,115.5,206500000,-58600000,-86700000,,327800000,58600000,,,,,,608700000,,177200000,,,484500000,424100000,,,,,,,,,,,,,
55,0001257640,2024,1838000000,1117400000,,,370800000,658900000,1838000000,870200000,1200000,-242000000,,,,,,391100000,,231300000,15000000,159600000,4200000,,29400000,104500000,,,0.9,0.9,115500000,115500000,81700000,-63100000,-91500000,,194700000,63200000,,,,,,564600000,,218700000,2600000,,482900000,440900000,,,,,,,,,,,,,
66,0001812447,2024,28175980,6395859,,15087923,12871163,,28175980,16376672,1632,-9239578,,,,,,5734035,3821476,,,1912559,,,2327,450476,,,,,,,2529554,-1307264,2779344,,,1484820,28741,,,,308875,2437181,4237064,,3209003,,6287351,,,,,,,,,,,,,,
67,0000019617,2014,2359141000000,,,2204511000000,,,2415689000000,211178000000,4105000000,115756000000,,,97031000000,,,,,,,,11043000000,,7633000000,21284000000,,19877000000,5.22,5.2,3809400000,3822200000,25079000000,-119825000000,87707000000,-5879000000,,,,5194000000,,,,,,,48188000000,,14891000000,,,,,,,,,,,,,,
68,0000019617,2015,2414879000000,,,2341046000000,,,2572773000000,231727000000,4105000000,129977000000,,,97367000000,,,,,,,,9350000000,,8789000000,17886000000,,16557000000,4.38,4.34,3782400000,3814900000,107953000000,-150501000000,28324000000,-13952000000,,,,6056000000,,,,,,,48175000000,,15133000000,,,,,,,,,,,,,,
69,0000019617,2016,2572274000000,,,2104125000000,,,2351698000000,231727000000,4105000000,146420000000,,,95112000000,,,,,,,,7897000000,,8954000000,21745000000,,20077000000,5.33,5.29,3763500000,3797500000,36593000000,-165636000000,118228000000,-11940000000,,,,6990000000,,,,,,,48081000000,,14362000000,,,,,,,,,,,,,,
